year,players_with_salary,total_payroll,avg_salary,median_salary
2026,959,5112468062,5331041,1428571
2025,969,4939913400,5097950,1337500
2024,962,4852598558,5044281,1500000
2023,958,4714113679,4920787,1500000
2022,974,4335687674,4451425,1250000
2021,905,3803830456,4203128,1150000
2020,899,3987209077,4435160,1000000
2019,875,3887858407,4443267,1450000
2018,879,4020474634,4573919,1500000
2017,890,4092821638,4598676,1712500
2016,869,3861698943,4443842,1500000
2015,887,3746155682,4223400,1750000
2014,883,3438566573,3894186,1437500
2013,872,3152450017,3615195,1250000
2012,881,2981490530,3384212,1100000
2011,865,2873119712,3321526,1200000
2010,877,2889411953,3294654,1175000
2009,863,2732749202,3166569,1032500
2008,913,2642074155,2893838,850000
2007,921,2452543029,2662913,825000
2006,890,2274676824,2555817,800000
2005,848,2077797197,2450233,800000
2004,829,2008139475,2422364,800000
2003,800,2015376000,2519220,800000
2002,716,1884812070,2632419,1250000
2001,631,1643244694,2604191,1250000
2000,559,1255173375,2245391,875000
